vehicle_id,make,model,variant,year,body_type,drivetrain,battery_chemistry,usable_battery_kwh,ideal_consumption_wh_km,regen_efficiency,weight_kg,max_dc_charge_kw,temp_penalty_factor,charge_curve_hint,route_type,terrain_type,climate_type,distance_km,speed_kmh,grade_pct,temp_c,start_soc_pct,hvac_override_kw,base_consumption_kwh,speed_delta_kwh,slope_kwh,regen_kwh,hvac_kwh,temp_penalty_kwh,gross_consumption_kwh,net_consumption_kwh,estimated_wh_km,target_wh_km,target_energy_kwh,end_soc_pct,below_reserve
audi_q4_etron_40,Audi,Q4 e-tron,40,2024,SUV,RWD,NMC,76.6,166.0,0.68,2135.0,135.0,0.008,tapered_nmc,city,hilly_up,mild,4.51,29.1,5.57,17.6,67.24,1.32,0.7487,-0.6388,1.4615,0.0,0.2046,0.0144,1.7903,1.7903,396.95,387.273,1.7466,64.9,0
byd_han,BYD,Han,EV AWD,2024,Sedan,AWD,LFP,82.0,161.0,0.68,2320.0,120.0,0.007,flat_lfp,mixed,flat,cold,42.49,77.2,-0.56,0.6,84.75,1.81,6.8409,-1.5704,0.0,1.0229,0.9962,0.929,7.4115,6.3886,150.36,153.119,6.506,76.96,0
chevrolet_equinox_ev,Chevrolet,Equinox EV,LT RWD,2024,SUV,RWD,NMC,78.0,175.0,0.68,2056.0,150.0,0.008,tapered_nmc,mixed,flat,mild,48.17,55.1,-0.24,15.0,47.52,1.49,8.4298,-4.7691,0.0,0.4404,1.3026,0.3372,5.3005,5.9008,122.5,122.5,5.9008,39.95,0
nissan_ariya_87kwh,Nissan,Ariya,87kWh RWD,2024,SUV,RWD,NMC,87.0,176.0,0.67,2175.0,130.0,0.008,tapered_nmc,mixed,hilly_down,mild,37.6,91.5,-3.6,22.1,66.19,1.79,6.6176,0.1886,0.0,5.3752,0.7356,0.0,7.5418,4.6323,123.2,123.2,4.6323,60.87,0
byd_han,BYD,Han,EV AWD,2024,Sedan,AWD,LFP,82.0,161.0,0.68,2320.0,120.0,0.007,flat_lfp,highway,hilly_down,hot,159.97,109.0,-4.51,37.5,33.01,1.98,25.7552,9.9127,0.0,31.0155,2.9059,0.0,39.731,18.0286,112.7,113.851,18.2127,11.02,0
chevrolet_equinox_ev,Chevrolet,Equinox EV,LT RWD,2024,SUV,RWD,NMC,78.0,175.0,0.68,2056.0,150.0,0.008,tapered_nmc,highway,rolling,mild,55.67,126.5,-2.69,15.3,99.16,1.75,9.7423,7.6358,0.0,5.7052,0.7701,0.3663,18.5145,12.8093,230.09,230.876,12.8529,82.74,0
renault_megane_ev60,Renault,Megane E-Tech,EV60,2024,Hatchback,FWD,NMC,55.0,149.0,0.68,1624.0,130.0,0.008,tapered_nmc,mixed,hilly_up,cold,51.09,90.3,3.71,-8.8,93.05,2.18,7.6124,0.0432,8.3881,0.0,1.2334,1.7539,19.031,19.031,372.5,377.37,19.2799,58.45,0
byd_dolphin,BYD,Dolphin,Standard,2024,Hatchback,FWD,LFP,43.2,145.0,0.65,1490.0,60.0,0.007,flat_lfp,highway,rolling,hot,98.83,103.2,-2.03,33.4,41.02,1.77,14.3304,3.7539,0.0,5.2948,1.695,0.0,19.7793,14.4845,146.56,150.058,14.8303,7.49,1
volkswagen_id4_pro,Volkswagen,ID.4,Pro,2024,SUV,RWD,NMC,77.0,165.0,0.68,2124.0,135.0,0.008,tapered_nmc,mixed,hilly_down,cold,34.68,87.8,-2.26,-7.2,32.8,2.62,5.7222,-0.2357,0.0,3.0847,1.0349,1.2452,7.7665,4.6817,135.0,135.781,4.7089,26.72,0
volkswagen_id4_pro,Volkswagen,ID.4,Pro,2024,SUV,RWD,NMC,77.0,165.0,0.68,2124.0,135.0,0.008,tapered_nmc,mixed,hilly_down,mild,58.55,93.0,-6.94,20.1,74.54,1.68,9.6608,0.5538,0.0,15.9925,1.0577,0.0,11.2722,6.7625,115.5,115.5,6.7625,65.76,0
